@relation social_media_sentiment

@attribute text string
@attribute sentiment {positive, negative, neutral}

@data
"Tom are the MITO tour dvd`s still being made cos no where seem to be stealing them and i really want a copy", neutral
"Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!", positive
"ugh, i dont feel like going to work today", negative
"Hey  Why thankyou. How`s u? x", neutral
"jb are so cute!  lmfao -giggles-", positive
"happy birthday justin! have a lof of fun!!! God bless", positive
"**** on the beach, cosmo, kamikaze, captain america, ahhh fun night. Still not over.", positive
"converting the Armin Only - Imagine concert for my iPhone... fun fun", positive
"_wx it looks like it did in Ohio after a tornado hit.", neutral
"oh how the ladies will suffer now  LOL", neutral
"'Never give up on something you can`t go a day without thinking about.' I like that quote.", positive
"Yes I think it`s safe to say she is at the same popularity level today as always.", positive
"Been there done that with the laundry!  you know it sucks, but it is so nice to of them to do it...just say thanks.", neutral
"Happy mothers dayyy all mothers especially mine", positive
"Iï¿½m really desappointed...", negative
"i loooooove bank holidays", positive
"pic as promised  http://twitpic.com/4wqy4", neutral
"- Welcome to Minnesoooooooota. Free up some time this trip to catch up! Won`t be at Cliquot Club though; they closed", neutral
"Watching videos on youtube with the bf.  Thinking about going to bed soon.", neutral
"if i had a car", neutral
"dont put behind the wheel lmfao today was fun", positive
"G`night!", neutral
"Out for an evening on the town with jeremy. Sad Carrie can`t come", negative
"why canceled your performance on Letterman? i`m So sad because it is less an option for you.", negative
"Im regretting the alcohol I consumed last night, MY HEAD", negative
"just got a wii", neutral
"left the inn  now im at school. dang its straight up dead here!! [<3Hannah]", negative
"seen mi abueltia at the hospital... she`s doing good!", positive
"aww-that`s my last one. Roo-Oop", neutral
"trying to finish my ****-ignment.please god help me to finish it", negative
"No plans tonight? .............", neutral
"Dear God please let me wake up before 11:45 AM tomorrow lol Got plans  Tonight was lets pick on Hero night. grow up, get a job, etc. lolz", positive
"At the doctor`s office, waiting for Dr. Sufka to see me. Tired of being sick  hope everyone else is having better Friday than me.", negative
"_carter Gotta make the video public, dear. LOL ...can`t see it.", neutral
"ur there when I`m not  lol", neutral
"i hate the biatches of this world", negative
"http://twitpic.com/4jcjj - Boagsie actually is still this small lol - him at 4 years old", neutral
"looks like yet another beautiful day in London", positive
"Drew`s new songs make me cry.  I miss Thomas already!", negative
"****... It`s 2am and I`m wide awake", negative
"just pre-ordered your new album `Off The Deep End`. Been listening to `Permanent Heart` on repeat since.", neutral
"- i sure hope so  it was worth it for me too  loveu.", positive
"Instead of telling God how big my problems are, I like telling my problems how big God is!  http://bit.ly/5ofzj", neutral
"I want to party down!", neutral
"Hahahaha! I didn`t know it said that, sheeeeittt! I don`t get why I can`t have a picture... bwaaaahhh", negative
"....ok, sOooooooooo I DID that!! i`ve got u in the palm of my hand", neutral
"beer from japan.  google it", neutral
"Calling all mothers, calling all mothers...get your butts to bed - the kids`ll be here tomorrow", neutral
"nope  don`t think I will. Thnx for asking lol I will be fine", positive
"thanku  cooking is simple but the law is- u hve to have fun while u make it", positive
"Another night of not sleeping", neutral
"Walls of Jericho please come to WORCESTER asap! Candace pleeaassee! Why did Flee the Seen call it quits? whyyy?", neutral
"Happy Mother`s Day, Moms!!! You are wonderful!! Have a great day", positive
"AHHHHHHH!!!!! its my 16th birthday  And i cant belive i found out im seeing yous tonight  Best present everr!!! <333333333", negative
"ohi i would marry Travis Pastrana in a second... hes not that attractive, hes just the sweetest thing  and what he does is attractive ;)ha", neutral
"Wish I was in Chicago.", positive
"Yum...wish we could be there today. I have a cold and don`t want to infect others...so we will miss our Friday session.", neutral
"Heading of to the theatre! Having a show tonight, I`m so exited!", positive
"Good morning World! Happy Star Wars Day! May the 4th be with you!", positive
"Good plan, Peg --plus I like the sound of 'Money Monday'", positive
"I also believe in some things are meant to happen.", neutral
"just got home  but about to leave again", neutral
"Ouch. Better get used to it. I think 22 to 25 are prime marriage years.", negative
"iProcrastinate: This is by far my #1 character flaw. Gotta session at 11 and I don`t want to emerge from my covers.", neutral
"hahaha that made me laugh", positive
"there are three broody ones atm, I have a china eggs under them to keep them happy ish", positive
"my music http://www.myspace.com/janedurkin", neutral
"http://twitpic.com/4qfl3 - haha^^ I love it", positive
"forgot to answer your kindle question yesterday. honestly, haven`t used it much. have two paperback books i want 2 read first.", negative
"I`ll try..blah! Thanks  what are u up to today?", neutral
"is watching D.O.A", neutral
"(sigh) guess we`re not gonna meet up today.", negative
"Baq to sleep i go  no the headach starts , if its not 1 its da other", negative
"#wci hashtag simply isn`t dying out anytime soon, is it.", negative
"I dont want to be ugly anymore", negative
"think you should catch up on your sleep befor you go back to uni haha  goodnight<3", positive
"Im glad i can make sumone smile", positive
"Today isn`t going the way I planned.  Early lunchbreak & I may not be back til Mon. Weekend gonna be fun with friends, tho.", positive
"Zeb has napped for 6 hours already today, and is asleep again... he must be growing fast", positive
"I need a bigger mp3 player... even if it pains me to say it", negative
"SNL after party", neutral
"not sure i can make it", neutral
