@relation social_media_sentiment

@attribute text string
@attribute sentiment {positive, negative, neutral}

@data
"I`d have responded, if I were going", neutral
"Sooo SAD I will miss you here in San Diego!!!", negative
"my boss is bullying me...", negative
"what interview! leave me alone", negative
"Sons of ****, why couldn`t they put them on the releases we already bought", negative
"http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth", neutral
"2am feedings for the baby are fun when he is all smiles and coos", positive
"Soooo high", neutral
"Both of you", neutral
"Journey!? Wow... u just became cooler.  hehe... (is that possible!?)", positive
"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff", neutral
"I really really like the song Love Story by Taylor Swift", positive
"My Sharpie is running DANGERously low on ink", negative
"i want to go to music tonight but i lost my voice.", negative
"test test from the LG enV2", neutral
"Uh oh, I am sunburned", negative
"S`ok, trying to plot alternatives as we speak *sigh*", negative
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw", negative
"is back home now      gonna miss every one", negative
"Hes just not that into you", neutral
"oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3", neutral
"Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet", positive
"is cleaning the house for her family who is comming later today..", neutral
"gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness", neutral
"SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH", neutral
"the free fillin` app on my ipod is fun, im addicted", positive
"I`m sorry.", negative
"On the way to Malaysia...no internet access to Twit", negative
"juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?", positive
"Went to sleep and there is a power cut in Noida  Power back up not working too", negative
"I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?", positive
"i hope unni will make the audition . fighting dahye unni !", positive
"If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.", negative
"That`s very funny.  Cute kids.", positive
"Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.", neutral
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4", neutral
"Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY", negative
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned", neutral
"i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....", negative
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day", positive
"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting", neutral
